,date,value,description,category,balance,eod_interest,rolling_eod
0,2024-11-09,19.86,Streaming Service,Entertainment,19.86,0.02,0.02
1,2024-11-10,17.61,Clothing,Shopping,37.47,0.03,0.05
2,2024-11-10,9.32,Taxi,Travel,46.79,0.04,0.09
3,2024-11-11,78.28,Movie Theater,Entertainment,125.07,0.1,0.19
4,2024-11-14,33.83,Grocery Store,Groceries,158.9,0.12,0.31
5,2024-11-16,106.23,Miscellaneous,Others,265.13,0.2,0.51
6,2024-11-17,27.54,Cafe,Dining,292.67,0.22,0.73
7,2024-11-18,19.82,Miscellaneous,Others,312.49,0.24,0.97
8,2024-11-19,57.05,Taxi,Travel,369.54,0.28,1.25
9,2024-11-20,43.36,Fast Food,Dining,412.9,0.32,1.57
10,2024-11-22,71.62,Grocery Store,Groceries,484.52,0.37,1.94
11,2024-11-22,16.43,Farmers Market,Groceries,500.95,0.38,2.32
12,2024-11-22,94.69,Fast Food,Dining,595.64,0.46,2.78
13,2024-11-23,147.86,Miscellaneous,Others,743.5,0.57,3.35
14,2024-11-23,130.64,Miscellaneous,Others,874.14,0.67,4.02
15,2024-11-24,70.74,Airline,Travel,944.88,0.72,4.74
16,2024-11-24,28.58,Miscellaneous,Others,973.46,0.75,5.49
17,2024-11-27,102.18,Restaurant,Dining,1075.64,0.82,6.31
18,2024-11-28,98.97,Clothing,Shopping,1174.61,0.9,7.21
19,2024-11-28,29.82,Internet Bill,Utilities,1204.43,0.92,8.13
20,2024-12-01,104.27,Electric Bill,Utilities,1308.7,1.0,9.13
21,2024-12-02,38.21,Miscellaneous,Others,1346.91,1.03,10.16
22,2024-12-03,63.17,Farmers Market,Groceries,1410.08,1.08,11.24
23,2024-12-03,137.4,Supermarket,Groceries,1547.48,1.19,12.43
24,2024-12-05,50.63,Internet Bill,Utilities,1598.11,1.23,13.66
25,2024-12-05,62.37,Online Store,Shopping,1660.48,1.27,14.93
26,2024-12-08,-1555.46,Credit Card Payment,Repayment,105.02,0.08,15.01
27,2024-12-09,15.01,Interest Charges,Fees,120.03,,0.0
28,2024-12-09,57.49,Water Bill,Utilities,162.51,0.12,0.12
29,2024-12-09,76.56,Streaming Service,Entertainment,239.07,0.18,0.3
30,2024-12-11,129.86,Miscellaneous,Others,368.93,0.28,0.58
31,2024-12-11,28.2,Streaming Service,Entertainment,397.13,0.3,0.88
32,2024-12-12,91.48,Online Store,Shopping,488.61,0.37,1.25
33,2024-12-14,21.61,Clothing,Shopping,510.22,0.39,1.64
34,2024-12-16,116.45,Water Bill,Utilities,626.67,0.48,2.12
35,2024-12-17,5.47,Concert,Entertainment,632.14,0.48,2.6
36,2024-12-17,47.56,Restaurant,Dining,679.7,0.52,3.12
37,2024-12-18,43.19,Clothing,Shopping,722.89,0.55,3.67
38,2024-12-18,78.61,Electric Bill,Utilities,801.5,0.61,4.28
39,2024-12-18,48.27,Grocery Store,Groceries,849.77,0.65,4.93
40,2024-12-20,93.3,Clothing,Shopping,943.07,0.72,5.65
41,2024-12-22,52.0,Grocery Store,Groceries,995.07,0.76,6.41
42,2024-12-23,139.72,Supermarket,Groceries,1134.79,0.87,7.28
43,2024-12-25,39.72,Miscellaneous,Others,1174.51,0.9,8.18
44,2024-12-25,142.31,Streaming Service,Entertainment,1316.82,1.01,9.19
45,2024-12-27,116.05,Grocery Store,Groceries,1432.87,1.1,10.29
46,2024-12-27,75.47,Grocery Store,Groceries,1508.34,1.16,11.45
47,2024-12-29,144.83,Miscellaneous,Others,1653.17,1.27,12.72
48,2024-12-30,105.03,Internet Bill,Utilities,1758.2,1.35,14.07
49,2024-12-31,62.85,Online Store,Shopping,1821.05,1.4,15.47
50,2025-01-01,59.15,Clothing,Shopping,1880.2,1.44,16.91
51,2025-01-01,22.55,Water Bill,Utilities,1902.75,1.46,18.37
52,2025-01-02,54.02,Movie Theater,Entertainment,1956.77,1.5,19.87
53,2025-01-04,15.27,Farmers Market,Groceries,1972.04,1.51,21.38
54,2025-01-04,14.77,Supermarket,Groceries,1986.81,1.52,22.9
55,2025-01-05,102.0,Concert,Entertainment,2088.81,1.6,24.5
56,2025-01-08,-1678.48,Credit Card Payment,Repayment,410.33,0.31,24.81
57,2025-01-09,24.81,Interest Charges,Fees,435.14,,0.0
58,2025-01-09,88.55,Clothing,Shopping,498.88,0.38,0.38
59,2025-01-09,122.09,Concert,Entertainment,620.97,0.48,0.86
60,2025-01-11,130.26,Airline,Travel,751.23,0.58,1.44
61,2025-01-11,99.75,Grocery Store,Groceries,850.98,0.65,2.09
62,2025-01-13,13.79,Mall,Shopping,864.77,0.66,2.75
63,2025-01-14,121.09,Online Store,Shopping,985.86,0.76,3.51
64,2025-01-14,32.78,Supermarket,Groceries,1018.64,0.78,4.29
65,2025-01-16,25.33,Water Bill,Utilities,1043.97,0.8,5.09
66,2025-01-18,12.34,Miscellaneous,Others,1056.31,0.81,5.9
67,2025-01-19,145.5,Electric Bill,Utilities,1201.81,0.92,6.82
68,2025-01-20,29.12,Miscellaneous,Others,1230.93,0.94,7.76
69,2025-01-21,35.99,Airline,Travel,1266.92,0.97,8.73
70,2025-01-21,28.87,Taxi,Travel,1295.79,0.99,9.72
71,2025-01-24,43.45,Farmers Market,Groceries,1339.24,1.03,10.75
72,2025-01-27,32.54,Taxi,Travel,1371.78,1.05,11.8
73,2025-01-28,88.98,Movie Theater,Entertainment,1460.76,1.12,12.92
74,2025-01-29,113.46,Electric Bill,Utilities,1574.22,1.21,14.13
75,2025-01-30,89.71,Supermarket,Groceries,1663.93,1.28,15.41
76,2025-01-30,27.83,Internet Bill,Utilities,1691.76,1.3,16.71
77,2025-01-30,128.44,Electric Bill,Utilities,1820.2,1.4,18.11
78,2025-01-30,14.85,Grocery Store,Groceries,1835.05,1.41,19.52
79,2025-01-31,63.55,Miscellaneous,Others,1898.6,1.46,20.98
80,2025-02-01,86.96,Clothing,Shopping,1985.56,1.52,22.5
81,2025-02-01,34.62,Cafe,Dining,2020.18,1.55,24.05
82,2025-02-04,39.61,Online Store,Shopping,2059.79,1.58,25.63
83,2025-02-05,102.4,Taxi,Travel,2162.19,1.66,27.29
84,2025-02-05,50.85,Cafe,Dining,2213.04,1.7,28.99
85,2025-02-05,6.35,Miscellaneous,Others,2219.39,1.7,30.69
86,2025-02-08,-1738.04,Credit Card Payment,Repayment,481.35,0.37,31.06
87,2025-02-09,31.06,Interest Charges,Fees,512.41,,0.0
88,2025-02-09,58.58,Supermarket,Groceries,539.93,0.41,0.41
89,2025-02-10,125.89,Concert,Entertainment,665.82,0.51,0.92
90,2025-02-12,93.69,Online Store,Shopping,759.51,0.58,1.5
91,2025-02-12,101.84,Miscellaneous,Others,861.35,0.66,2.16
92,2025-02-15,44.49,Electric Bill,Utilities,905.84,0.69,2.85
93,2025-02-15,109.05,Electric Bill,Utilities,1014.89,0.78,3.63
